P,Car,Driver,Lap,LapTime,Diff,Gap,Status,Speed,LSP,Team,Engine,Flag,S1,S1_OT,P2,P2_OT,L4,L4_OT,S2A,S2A_OT,S2,S2_OT,L5,L5_OT,L7,L7_OT,L3,L3_OT,S2B,S2B_OT,T2,T2_OT,S3A,S3A_OT,S3,S3_OT,S3B,S3B_OT,T3,T3_OT,S4A,S4A_OT,S4,S4_OT,PIC,PIC_OT,S4B,S4B_OT,L6,L6_OT,S5,S5_OT,P1,P1_OT,L2,L2_OT,ElapsedTime,GapOnTrack,LeaderLap,TOD,MinimumGap,MinGapOnStraight,Tire,OT_Remain,OT_Used,Track,Ambient,Humidity,Pressure,WindSpeed,WindDirection,WindChill,Brake,Throttle,
5,48,Tony Kanaan,3,213.9453,2.8660,0.4960,P,24.2304925604816,1,Chip Ganassi Racing,Honda,G,,,59.8179546164551,False,,,,,,,18.0645,False,41.5349,False,,,8.4758,False,126.934235976789,False,3.1376,False,5.9645,False,2.8269,False,141.549831884793,False,7.1349,False,,,92.7539202623757,False,,,10.371,False,,,2.68003783647754,False,172.4107,False,512.7035,31.9304,4,13:37:11.383,6.767,6.7674,P,0,0,78,71,82,29.33,1,ENE,0,0,0,
8,7,Felix Rosenqvist,2,485.408,9.3857,0.8523,P,10.6796756542949,1,Arrow McLaren SP,Chevy,G,,,59.5767750755759,False,,,,,,,17.9517,False,41.6543,False,,,8.5638,False,121.225703924045,False,3.3338,False,6.5266,False,3.1928,False,126.775568181818,False,6.9064,False,,,94.6667954102898,False,,,10.2696,False,,,1.01246920060873,False,443.7734,False,554.8798,42.1665,4,13:37:53.559,4.5003,4.6173,P,0,0,78,71,82,29.33,1,ENE,0,0,0,
3,9,Scott Dixon,3,171.9909,1.2008,0.3132,P,30.1411295597616,1,Chip Ganassi Racing,Honda,G,,,3.62206454239567,False,,,,,,,17.9997,False,37.7177,False,,,8.5304,False,124.86359439268,False,3.1988,False,5.9812,False,2.7824,False,149.725712560184,False,6.2989,False,,,118.476810165878,False,,,7.4379,False,,,59.6647348704976,False,2100.1698,False,583.6252,28.7544,4,13:38:22.304,7.6256,7.6256,P,0,0,78,71,81,29.33,4,ENE,0,0,0,
18,29,James Hinchcliff,1,552.8725,498.5090,220.7831,P,9.37648372816517,1,Andretti Steinbrenner Autosport,Honda,Y,,,0.910863443947112,False,,,,,,,17.8794,False,40.7742,False,,,8.442,False,128.890172575637,False,3.1256,False,6.1419,False,3.0163,False,128.685747242448,False,7.2109,False,,,97.0972342350075,False,,,9.542,False,,,58.2270209347498,False,654.8138,False,633.8759,50.2101,4,13:39:12.555,2.0174,22.0146,Po,0,0,79,71,80,29.33,4,ENE,0,0,0,
16,4,Dalton Kellett,2,427.5685,237.5520,49.0134,P,12.1243730536744,1,AJ Foyt Enterprises,Chevy,G,,,59.4865446260879,False,,,,,,,18.2447,False,41.5386,False,,,8.5681,False,123.083075904678,False,3.2465,False,6.2959,False,3.0494,False,126.439712694972,False,7.398,False,,,95.7150465843057,False,,,9.6,False,,,1.16698860132394,False,386.0051,False,733.1237,99.289,4,13:40:51.803,4.1117,4.1122,Po,0,0,79,71,81,29.33,2,ENE,0,0,0,
1,4,Dalton Kellett,3,44.8924,,,T,115.476116224573,1,AJ Foyt Enterprises,Chevy,G,,,59.6781277005681,False,,,,,,,18.0403,False,328.877,False,37.192,False,8.5375,False,123.083075904678,False,3.2609,False,6.0398,False,2.7789,False,159.184547059768,False,5.5748,False,10.6079,False,,,5.0331,False,,,2.504,False,,,,,778.0161,777.9792,4,13:41:36.695,99.2478,99.289,P,0,0,79,71,80,29.33,2,E,0,0,0,
1,4,Dalton Kellett,4,28.8333,,,T,179.792115366607,2,AJ Foyt Enterprises,Chevy,G,2.538,False,,,,,5.3342,False,10.3012,False,,,,,,,4.967,False,175.657855891673,False,2.4432,False,4.7329,False,2.2897,False,194.711695791609,False,4.5479,False,8.9727,False,,,4.4248,False,,,2.2885,False,,,,,806.8494,28.8333,4,13:42:05.528,28.8333,28.8333,P,0,0,80,71,80,29.33,2,ENE,0,0,0,
14,12,Will Power,3,596.8426,51.0888,2.6396,P,8.68570708592182,1,Team Penske,Chevy,G,,,59.5296977233865,False,,,,,,,18.1113,False,39.3077,False,,,8.5136,False,127.99552553457,False,3.1125,False,5.8461,False,2.7336,False,155.971479500891,False,6.0337,False,,,105.789450967886,False,,,9.3166,False,,,0.802955597502057,False,557.5347,False,812.9574,79.8326,4,13:42:11.637,1.5802,1.582,P,0,0,80,71,80,29.33,2,ENE,0,0,0,
1,4,Dalton Kellett,5,26.586,,,T,194.989844278944,3,AJ Foyt Enterprises,Chevy,G,2.28,False,,,,,4.4696,False,9.0638,False,,,,,,,4.5942,False,187.036338488621,False,2.3016,False,4.4838,False,2.1822,False,203.349282296651,False,4.2905,False,8.5244,False,,,4.2339,False,,,2.234,False,,,,,833.4354,26.586,5,13:42:32.114,26.586,26.586,P,0,0,80,71,80,29.33,2,ENE,0,0,0,
2,12,Will Power,4,43.4033,16.8173,16.8173,T,119.437922922911,1,Team Penske,Chevy,G,,,59.5312400634058,False,,,,,,,18.0682,False,66.7212,False,35.6839,False,8.5085,False,126.164459083134,False,3.1521,False,5.816,False,2.6639,False,173.405350793682,False,4.8813,False,9.4627,False,,,4.5814,False,,,2.337,False,,,,,856.3607,22.9237,5,13:42:55.040,16.6375,21.4023,P,0,0,80,71,80,29.33,2,ENE,0,0,0,
